HS92,S3
430390,84831
430400,84832
440110,24501
440121,24611
440122,24615
440130,2462
440200,24502
440310,2473
440320,2474
440331,24751
440332,24751
440333,24751
440334,24751
440335,24751
440391,24752
440392,24752
440399,24752
440410,63491
440420,63491
440500,63493
440610,24811
440690,24819
440710,2482
440721,2484
440722,2484
440723,2484
440791,2484
440792,2484
440799,2484
440810,63411
440820,63412
440890,63412
440910,2483
440920,2485
441010,63422
441090,63423
441111,63451
441119,63451
441121,63452
441129,63452
441131,63453
441139,63453
441191,63459
441199,63459
441211,63431
441212,63431
441219,63439
441221,63441
441229,63441
441291,63449
441299,63449
441300,63421
441400,63541
441510,63511
441520,63512
441600,6352
441700,63591
441810,63531
441820,63532
441830,63539
441840,63539
441850,63533
441890,63539
441900,63542
442010,63549
442090,63549
442110,63599
442190,63599
450110,24403
450190,24404
450200,24402
450310,63311
450390,63319
450410,63321
450490,63329
460110,89973
460120,89974
460191,89979
460199,89979
460210,89971
460290,89971
470100,2512
470200,2513
470311,25141
470319,25142
470321,25151
470329,25152
470411,25161
470419,25161
470421,25162
470429,25162
470500,25191
470610,25192
470691,25192
470692,25192
470693,25192
470710,25111
470720,25112
470730,25113
470790,25119
480100,6411
480210,64121
480220,64122
480230,64123
480240,64124
480251,64125
480252,64126
480253,64127
480260,64129
480300,64163
480411,64141
480419,64141
480421,64142
480429,64142
480431,64146
480439,64146
480441,64147
480442,64147
480449,64147
480451,64148
480452,64148
480459,64148
480510,64151
480521,64154
480522,64154
480523,64154
480529,64154
480530,64152
480540,64156
480550,64156
480560,64157
480570,64158
480580,64159
480610,64153
480620,64153
480630,64153
480640,64153
480710,64191
480791,64192
480799,64192
480810,64164
480820,64161
480830,64162
480890,64169
480910,64131
480920,64131
480990,64131
481011,64132
481012,64133
481021,64134
481029,64134
481031,64174
481032,64175
481039,64176
481091,64177
481099,64177
481110,64173
481121,64178
481129,64178
481131,64171
481139,64172
481140,64179
481190,64179
481200,64193
481310,64241
481320,64241
481390,64155
481410,64194
481420,64194
481430,64194
481490,64194
481500,65911
481610,64242
481620,64242
481630,64242
481690,64242
481710,64221
481720,64222
481730,64223
481810,64243
481820,64294
481830,64294
481840,64295
481850,64294
481890,64294
481910,64211
481920,64212
481930,64213
481940,64214
481950,64215
481960,64216
482010,64231
482020,64232
482030,64233
482040,64234
482050,64235
482090,64239
482110,89281
482190,89281
482210,64291
482290,64291
482311,64244
482319,64244
482320,64245
482330,64292
482340,64299
482351,64248
482359,64248
482360,64293
482370,64299
482390,64299
490110,89215
490191,89216
490199,89219
490210,89221
490290,89229
490300,89212
490400,89285
490510,89214
490591,89213
490599,89214
490600,89282
490700,89283
490810,89241
490890,89241
490900,89242
491000,89284
491110,89286
491191,89287
491199,89289
500100,26141
500200,2613
500310,26142
500390,26149
500400,65192
500500,65193
500600,65194
500710,65411
500720,65413
500790,65419
510111,26811
510119,26819
510121,26821
510129,26821
510130,26829
510210,2683
510220,26859
510310,26863
510320,26869
510330,26869
510400,26862
510510,26871
510521,26871
510529,26873
510530,26877
510540,26877
510610,65112
510620,65117
510710,65113
510720,65118
510810,65114
510820,65114
510910,65116
510990,65119
511000,65115
511111,65421
511119,65421
511120,65431
511130,65431
511190,65433
511211,65422
511219,65422
511220,65432
511230,65432
511290,65434
511300,65492
520100,2631
520210,26331
520291,26332
520299,26339
520300,2634
520411,65121
520419,65121
520420,65122
520511,65133
520512,65133
520513,65133
520514,65133
520515,65133
520521,65133
520522,65133
520523,65133
520524,65133
520525,65133
520531,65133
520532,65133
520533,65133
520534,65133
520535,65133
520541,65133
520542,65133
520543,65133
520544,65133
520545,65133
520611,65134
520612,65134
520613,65134
520614,65134
520615,65134
520621,65134
520622,65134
520623,65134
520624,65134
520625,65134
520631,65134
520632,65134
520633,65134
520634,65134
520635,65134
520641,65134
520642,65134
520643,65134
520644,65134
520645,65134
520710,65131
520790,65132
520811,65221
520812,65221
520813,65221
520819,65221
520821,65231
520822,65231
520823,65231
520829,65231
520831,65232
520832,65232
520833,65232
520839,65232
520841,65233
520842,65233
520843,65233
520849,65233
520851,65234
520852,65234
520853,65234
520859,65234
520911,65222
520912,65222
520919,65222
520921,65241
520922,65241
520929,65241
520931,65242
520932,65242
520939,65242
520941,65244
520942,65243
520943,65244
520949,65244
520951,65245
520952,65245
520959,65245
521011,65223
521012,65223
521019,65223
521021,65251
521022,65251
521029,65251
521031,65252
521032,65252
521039,65252
521041,65253
521042,65253
521049,65253
521051,65254
521052,65254
521059,65254
521111,65224
521112,65224
521119,65224
521121,65261
521122,65261
521129,65261
521131,65262
521132,65262
521139,65262
521141,65264
521142,65263
521143,65264
521149,65264
521151,65265
521152,65265
521159,65265
521211,65225
521212,65291
521213,65292
521214,65293
521215,65294
521221,65226
521222,65295
